Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2019-10-28,9433.0,9455.599609375,9394.599609375,9432.2998046875,123721700.0,9412.799,9433.0
2019-10-29,9400.099609375,9445.5,9362.2001953125,9440.7001953125,155531300.0,9426.275,9400.099609375
2019-10-30,9284.5,9386.599609375,9219.7001953125,9384.5,192868000.0,9415.448,9284.5
2019-10-31,9257.5,9305.2998046875,9208.900390625,9296.2998046875,227115200.0,9316.416,9257.5
2019-11-01,9328.0,9343.099609375,9252.7998046875,9293.099609375,160721600.0,9271.673,9328.0
2019-11-04,9416.400390625,9439.0,9354.2998046875,9376.5,180099600.0,9297.378,9416.400390625
2019-11-05,9407.900390625,9432.2998046875,9373.7998046875,9424.2001953125,218124200.0,9376.899,9407.900390625
2019-11-06,9398.400390625,9443.900390625,9360.900390625,9407.2998046875,173974000.0,9399.767,9398.400390625
2019-11-07,9447.2998046875,9482.5,9409.599609375,9435.400390625,190107600.0,9395.179,9447.2998046875
2019-11-08,9393.7001953125,9436.099609375,9369.7001953125,9418.5,182548400.0,9420.733,9393.7001953125
2019-11-11,9388.5,9400.400390625,9334.400390625,9370.2998046875,153710200.0,9405.293,9388.5
2019-11-12,9306.7001953125,9436.7998046875,9306.7001953125,9427.7998046875,182145300.0,9370.573,9306.7001953125
2019-11-13,9194.5,9270.2001953125,9132.7998046875,9270.2001953125,246050000.0,9330.571,9194.5
2019-11-14,9173.2998046875,9216.900390625,9170.2998046875,9203.099609375,154125900.0,9230.181,9173.2998046875
2019-11-15,9261.400390625,9273.2998046875,9186.900390625,9222.099609375,161258700.0,9161.649,9261.400390625
2019-11-18,9258.0,9293.099609375,9213.0,9265.099609375,135267700.0,9212.217,9258.0
2019-11-19,9259.2001953125,9327.5,9234.400390625,9288.0,121796100.0,9250.826,9259.2001953125
2019-11-20,9225.400390625,9240.400390625,9165.400390625,9223.7001953125,139899200.0,9246.904,9225.400390625
2019-11-21,9214.0,9223.099609375,9152.099609375,9175.099609375,142003800.0,9226.465,9214.0
2019-11-22,9254.7001953125,9295.5,9229.7001953125,9238.5,173881100.0,9202.73,9254.7001953125
2019-11-25,9319.900390625,9340.2998046875,9292.2998046875,9300.0,128376200.0,9231.356,9319.900390625
2019-11-26,9324.7998046875,9329.7001953125,9288.2001953125,9323.599609375,214687000.0,9296.195,9324.7998046875
2019-11-27,9362.7001953125,9388.7001953125,9333.400390625,9353.5,135045800.0,9321.384,9362.7001953125
2019-11-28,9359.0,9373.099609375,9343.7998046875,9353.599609375,107163700.0,9344.524,9359.0
2019-11-29,9352.0,9404.5,9312.5,9334.5,140835600.0,9348.106,9352.0
2019-12-02,9156.2998046875,9390.900390625,9146.599609375,9367.2001953125,200666300.0,9340.1875,9156.2998046875
2019-12-03,9135.7001953125,9209.7998046875,9110.099609375,9176.7998046875,162636000.0,9214.052,9135.7001953125
